Date,Signal,Price
2014-10-16,1,42.529999
2014-10-17,1,43.200001
2014-10-20,1,43.060001
2014-10-21,1,44.360001
2014-10-22,1,45.0
2014-10-23,1,44.619999
2014-10-24,1,46.830002
2014-10-27,1,45.709999
2014-10-28,1,45.860001
2014-10-29,1,46.439999
2014-10-30,1,46.32
2014-10-31,1,46.939999
2014-11-03,1,46.889999
2014-11-04,1,47.299999
2014-11-05,1,47.799999
2014-11-06,1,47.860001
2014-11-07,1,48.919998
2014-11-10,1,48.650002
2014-11-11,1,48.849998
2014-11-12,1,48.560001
2014-11-13,1,48.810001
2014-11-14,1,49.740002
2014-11-17,1,49.41
2014-11-18,1,49.130001
2014-11-19,1,48.66
2014-11-20,1,48.0
2014-11-21,1,49.02
2014-11-24,1,47.990002
2014-11-25,1,47.66
2014-11-26,1,47.490002
2014-11-28,1,47.950001
2014-12-01,1,47.880001
2014-12-02,1,48.84
2014-12-03,1,48.439999
2014-12-04,1,48.389999
2014-12-05,1,48.82
2014-12-08,1,48.259998
2014-12-09,1,47.110001
2014-12-10,1,47.580002
2014-12-11,1,47.080002
2014-12-12,1,46.779999
2014-12-15,1,47.200001
2014-12-16,1,45.900002
2014-12-17,1,45.049999
2014-12-18,1,46.580002
2014-12-19,1,47.630001
2014-12-22,1,47.779999
2014-12-23,1,48.369999
2014-12-24,1,48.639999
2014-12-26,1,48.41
2014-12-29,1,47.700001
2014-12-30,1,47.439999
2014-12-31,1,46.73
2015-01-02,1,46.66
2015-01-05,1,46.369999
2015-01-06,1,46.380001
2015-01-07,1,45.98
2015-01-08,1,46.75
2015-01-09,1,47.610001
2015-01-12,1,47.419998
2015-01-13,1,46.970001
2015-01-14,1,45.959999
2015-01-15,1,46.220001
2015-01-16,1,45.310001
2015-01-20,1,46.299999
2015-01-21,1,45.939999
2015-01-22,1,46.380001
2015-01-23,1,47.360001
2015-01-26,1,47.0
2015-01-27,1,42.950001
2015-01-28,1,42.740002
2015-01-29,1,40.93
2015-01-30,1,41.549999
2015-02-02,1,40.59
2015-02-03,1,41.630001
2015-02-04,1,41.939999
2015-02-05,1,42.220001
2015-02-06,1,42.68
2015-02-09,1,42.240002
2015-02-10,1,42.740002
2015-02-11,1,42.650002
2015-02-12,1,42.66
2015-02-13,1,43.380001
2015-02-17,1,43.970001
2015-02-18,1,43.630001
2015-02-19,1,43.18
2015-02-20,1,43.509998
2015-02-23,1,43.700001
2015-02-24,1,44.150002
2015-02-25,1,43.950001
2015-02-26,1,43.990002
2015-02-27,1,44.130001
2015-03-02,1,43.669998
2015-03-03,1,43.560001
2015-03-04,1,43.009998
2015-03-05,1,43.07
2015-03-06,-1,43.0
2015-03-09,-1,42.189999
2015-03-10,-1,42.349998
2015-03-11,-1,42.310001
2015-03-12,-1,41.330002
2015-03-13,-1,40.700001
2015-03-16,-1,41.470001
2015-03-17,-1,41.369999
2015-03-18,-1,41.43
2015-03-19,-1,42.259998
2015-03-20,-1,42.560001
2015-03-23,-1,42.880001
2015-03-24,-1,42.779999
2015-03-25,-1,42.919998
2015-03-26,-1,41.220001
2015-03-27,-1,41.119999
2015-03-30,-1,41.099998
2015-03-31,-1,40.779999
2015-04-01,-1,40.599998
2015-04-02,-1,40.66
2015-04-06,-1,40.34
2015-04-07,-1,41.610001
2015-04-08,-1,41.459999
2015-04-09,-1,41.25
2015-04-10,-1,41.630001
2015-04-13,-1,41.400002
2015-04-14,-1,41.799999
2015-04-15,-1,41.759998
2015-04-16,-1,41.950001
2015-04-17,-1,41.669998
2015-04-20,-1,41.73
2015-04-21,-1,43.0
2015-04-22,-1,42.669998
2015-04-23,-1,42.889999
2015-04-24,-1,45.66
2015-04-27,-1,47.23
2015-04-28,-1,47.779999
2015-04-29,-1,48.720001
2015-04-30,-1,48.700001
2015-05-01,-1,48.580002
2015-05-04,-1,48.369999
2015-05-05,-1,47.82
2015-05-06,-1,47.57
2015-05-07,-1,46.27
2015-05-08,-1,47.549999
2015-05-11,-1,47.549999
2015-05-12,-1,46.849998
2015-05-13,-1,48.189999
2015-05-14,-1,48.029999
2015-05-15,-1,48.869999
2015-05-18,-1,47.98
2015-05-19,-1,47.560001
2015-05-20,-1,47.389999
2015-05-21,-1,47.279999
2015-05-22,-1,47.299999
2015-05-26,-1,46.830002
2015-05-27,-1,46.82
2015-05-28,-1,47.5
2015-05-29,-1,47.43
2015-06-01,-1,47.060001
2015-06-02,-1,46.93
2015-06-03,-1,47.369999
2015-06-04,-1,46.790001
2015-06-05,-1,46.310001
2015-06-08,-1,46.299999
2015-06-09,-1,45.759998
2015-06-10,-1,45.790001
2015-06-11,1,46.66
2015-06-12,1,46.220001
2015-06-15,1,45.450001
2015-06-16,1,45.349998
2015-06-17,1,45.73
2015-06-18,1,46.220001
2015-06-19,1,46.790001
2015-06-22,1,46.330002
2015-06-23,1,46.130001
2015-06-24,1,45.669998
2015-06-25,1,46.029999
2015-06-26,1,45.650002
2015-06-29,1,45.040001
2015-06-30,1,44.709999
2015-07-01,1,44.459999
2015-07-02,1,44.48
2015-07-06,1,43.959999
2015-07-07,1,44.34
2015-07-08,1,44.439999
2015-07-09,1,44.75
2015-07-10,1,45.009998
2015-07-13,1,44.98
